sampleID;filename;date;time
5_Process_blank;Process_Blank/5_Process_blank.CDF;2024-07-01;15:24:51.944609
16_QC;Quality_Control/16_QC.CDF;2024-07-01;15:24:21.748577
22_QC;Quality_Control/22_QC.CDF;2024-07-01;15:24:05.080626
29_QC;Quality_Control/29_QC.CDF;2024-07-01;15:23:45.694563
33_QC;Quality_Control/33_QC.CDF;2024-07-01;15:23:34.587818
34_QC;Quality_Control/34_QC.CDF;2024-07-01;15:23:31.760342
8_QC;Quality_Control/8_QC.CDF;2024-07-01;15:24:43.696541
9_QC;Quality_Control/9_QC.CDF;2024-07-01;15:24:40.994049
11_Young_BR1_TR1;Samples/11_Young_BR1_TR1.CDF;2024-07-01;15:24:35.557829
12_Mature_BR2_TR2;Samples/12_Mature_BR2_TR2.CDF;2024-07-01;15:24:32.792866
13_Sapling_BR2_TR1;Samples/13_Sapling_BR2_TR1.CDF;2024-07-01;15:24:30.059124
14_Sapling_BR1_TR3;Samples/14_Sapling_BR1_TR3.CDF;2024-07-01;15:24:27.262905
15_Sapling_BR2_TR2;Samples/15_Sapling_BR2_TR2.CDF;2024-07-01;15:24:24.482321
17_Young_BR1_TR3;Samples/17_Young_BR1_TR3.CDF;2024-07-01;15:24:19.030479
18_Mature_BR1_TR3;Samples/18_Mature_BR1_TR3.CDF;2024-07-01;15:24:16.265495
19_Mature_BR2_TR1;Samples/19_Mature_BR2_TR1.CDF;2024-07-01;15:24:13.50053
20_Mature_BR1_TR2;Samples/20_Mature_BR1_TR2.CDF;2024-07-01;15:24:10.65744
21_Young_BR2_TR1;Samples/21_Young_BR2_TR1.CDF;2024-07-01;15:24:07.829981
24_Young_BR2_TR2;Samples/24_Young_BR2_TR2.CDF;2024-07-01;15:23:59.628757
25_Sapling_BR2_TR3;Samples/25_Sapling_BR2_TR3.CDF;2024-07-01;15:23:56.848188
26_Mature_BR1_TR1;Samples/26_Mature_BR1_TR1.CDF;2024-07-01;15:23:54.051971
27_Young_BR1_TR2;Samples/27_Young_BR1_TR2.CDF;2024-07-01;15:23:51.240135
28_Mature_BR2_TR3;Samples/28_Mature_BR2_TR3.CDF;2024-07-01;15:23:48.490784
30_Sapling_BR1_TR1;Samples/30_Sapling_BR1_TR1.CDF;2024-07-01;15:23:42.92959
31_Sapling_BR1_TR2;Samples/31_Sapling_BR1_TR2.CDF;2024-07-01;15:23:40.164614
32_Young_BR2_TR3;Samples/32_Young_BR2_TR3.CDF;2024-07-01;15:23:37.368408
